Provincia,Población,Latitud,Longitud,Altitud
Almería,Abla,37.14114,-2.780104,871.1684
Almería,Abrucena,37.13305,-2.797098,976.9387
Almería,Adra,36.74807,-3.022522,10.97898
Almería,Albánchez,37.2871,-2.181163,481.3123
Almería,Alboloduy,37.03319,-2.62175,388.4346
Almería,Albox,37.38979,-2.147483,426.4268
Almería,Alcolea,36.97449,-2.961038,744.6956
Almería,Alcóntar,37.33585,-2.596944,955.1331
Almería,Alcudia de Monteagud,37.23598,-2.266174,1018.354
Almería,Alhabia,36.9893,-2.587667,288.056
Almería,Alhama de Almería,36.95742,-2.570075,523.1963
Almería,Alicún,36.9663,-2.601994,420.4872
Almería,Almería,36.84016,-2.467922,27.00703
Almería,Almócita,37.00236,-2.790071,831.1343
Almería,Alsodux,37.002,-2.594579,312.0394
Almería,Antas,37.24516,-1.917543,107.2613
Almería,Arboleas,37.35025,-2.074867,288.0828
Almería,Armuña de Almanzora,37.34969,-2.411396,625.5285
Almería,Bacares,37.26083,-2.454761,1202.631
Almería,Bayárcal,37.03116,-2.996469,1271.166
Almería,Bayarque,37.33091,-2.43566,816.2208
Almería,Bédar,37.18964,-1.981898,391.56
Almería,Beires,37.012,-2.790928,919.2347
Almería,Benahadux,36.92587,-2.455683,113.9746
Almería,Benitagla,37.23124,-2.239107,945.0856
Almería,Benizalón,37.21175,-2.241685,933.7475
Almería,Bentarique,36.98652,-2.61942,319.8048
Almería,Berja,36.84644,-2.949425,340.7863
Almería,Canjáyar,37.00973,-2.739681,607.9745
Almería,Cantoria,37.35259,-2.193626,388.6553
Almería,Carboneras,36.99659,-1.895012,6.721787
Almería,Castro de Filabres,37.18464,-2.439524,943.7071
Almería,Chercos,37.26633,-2.257897,789.6791
Almería,Chirivel,37.5956,-2.264839,1039.713
Almería,Cóbdar,37.26199,-2.210223,606.9962
Almería,Cuevas del Almanzora,37.29709,-1.881476,97.29103
Almería,Dalías,36.82121,-2.870697,415.9644
Almería,Ejido (El),36.77506,-2.812738,80
Almería,Enix,36.87704,-2.602107,720.6339
Almería,Felix,36.86892,-2.657921,822.4271
Almería,Fiñana,37.17101,-2.840678,950.4163
Almería,Fines,37.35888,-2.262964,448.7018
Almería,Fondón,36.97942,-2.858356,858.4697
Almería,Gádor,36.95393,-2.492936,169.0004
Almería,Gallardos (Los),37.16948,-1.940099,113.9905
Almería,Garrucha,37.17925,-1.821901,2.56615
Almería,Gérgal,37.1207,-2.538305,750.5009
Almería,Huécija,36.96788,-2.611436,410.0447
Almería,Huércal-Overa,37.39063,-1.943684,284.6117
Almería,Huércal de Almería,36.88415,-2.435978,72.52909
Almería,Illar,36.98504,-2.639302,428.1185
Almería,Instinción,36.99316,-2.659945,434.57
Almería,Laroya,37.29667,-2.329601,854.0873
Almería,Láujar de Andarax,36.99384,-2.88922,910.9894
Almería,Líjar,37.29527,-2.219928,593.4965
Almería,Lubrín,37.21585,-2.067055,521.5203
Almería,Lucainena de las Torres,37.04179,-2.200706,533.8752
Almería,Lúcar,37.39965,-2.427074,901.753
Almería,Macael,37.33229,-2.304892,538.7327
Almería,María,37.7111,-2.165795,1196.435
Almería,Mojácar,37.13995,-1.851328,165.0597
Almería,Mojonera (La),36.75254,-2.688159,41.25403
Almería,Nacimiento,37.10497,-2.64774,596.8992
Almería,Níjar,36.96576,-2.20651,353.1248
Almería,Ohanes,37.03723,-2.745168,953.4253
Almería,Olula de Castro,37.17611,-2.476297,1054.839
Almería,Olula del Río,37.35212,-2.298121,486.5961
Almería,Oria,37.48503,-2.295018,1038.982
Almería,Padules,36.99884,-2.773482,745.1029
Almería,Partaloa,37.40604,-2.226434,548.585
Almería,Paterna del Río,37.02088,-2.953087,1201.81
Almería,Pechina,36.91667,-2.440625,107.5108
Almería,Pulpí,37.41183,-1.745502,194.9947
Almería,Purchena,37.34855,-2.36155,540.9984
Almería,Rágol,36.99564,-2.680989,404.8323
Almería,Rioja,36.94406,-2.462424,133.2092
Almería,Roquetas de Mar,36.76427,-2.614935,11.84886
Almería,Santa Cruz de Marchena,37.0172,-2.603768,328.9739
Almería,Santa Fe de Mondújar,36.97506,-2.530279,210.5975
Almería,Senés,37.20457,-2.347544,1007.387
Almería,Serón,37.34361,-2.508077,800.137
Almería,Sierro,37.32348,-2.398526,721.0729
Almería,Somontín,37.39139,-2.389127,816.8105
Almería,Sorbas,37.09841,-2.126351,391.5779
Almería,Suflí,37.3382,-2.389523,636.8499
Almería,Tabernas,37.04945,-2.392681,405.9641
Almería,Taberno,37.46729,-2.076205,702.8022
Almería,Tahal,37.22803,-2.28497,1008.582
Almería,Terque,36.98359,-2.597233,282.4351
Almería,Tíjola,37.34551,-2.439434,685.379
Almería,Tres Villas (Las),37.13334,-2.7,693.0934
Almería,Turre,37.15225,-1.894899,49.41454
Almería,Turrillas,37.03019,-2.264096,840.3381
Almería,Uleila del Campo,37.18548,-2.203801,629.6137
Almería,Urrácal,37.39732,-2.36507,744.7553
Almería,Velefique,37.19375,-2.403687,937.5716
Almería,Vélez-Blanco,37.69095,-2.095682,1072.432
Almería,Vélez-Rubio,37.64802,-2.074232,842.2859
Almería,Vera,37.24686,-1.868238,102.0657
Almería,Viator,36.88963,-2.426541,74.79173
Almería,Vícar,36.83145,-2.642515,276.2602
Almería,Zurgena,37.34265,-2.039607,248.1582
Cádiz,Alcalá de los Gazules,36.46045,-5.723718,158.3963
Cádiz,Alcalá del Valle,36.90491,-5.173237,623.3366
Cádiz,Algar,36.65533,-5.657418,213.0833
Cádiz,Algeciras,36.12978,-5.447698,22.40544
Cádiz,Algodonales,36.88092,-5.405773,370.124
Cádiz,Arcos de la Frontera,36.75078,-5.812395,139.2057
Cádiz,Barbate,36.19282,-5.918903,15.97273
Cádiz,Barrios (Los),36.18539,-5.492747,25.33697
Cádiz,Benalup-Casas Viejas,36.34284,-5.8094,75.25459
Cádiz,Benaocaz,36.69952,-5.421263,792.0704
Cádiz,Bornos,36.81459,-5.743362,153.5913
Cádiz,Bosque (El),36.75752,-5.506988,273.1861
Cádiz,Cádiz,36.52969,-6.292657,15.42415
Cádiz,Castellar de la Frontera,36.28621,-5.419937,30.78278
Cádiz,Chiclana de la Frontera,36.41915,-6.149412,13.2455
Cádiz,Chipiona,36.7408,-6.43587,11.72497
Cádiz,Conil de la Frontera,36.27675,-6.088436,33.70992
Cádiz,Espera,36.87319,-5.806213,147.471
Cádiz,Gastor (El),36.85509,-5.323623,600.3022
Cádiz,Grazalema,36.75837,-5.366071,830.5287
Cádiz,Jerez de la Frontera,36.68656,-6.137173,55.74849
Cádiz,Jimena de la Frontera,36.43404,-5.453479,131.443
Cádiz,Línea de la Concepción (La),36.16118,-5.348256,10.4049
Cádiz,Medina-Sidonia,36.46768,-5.927894,246.0372
Cádiz,Olvera,36.93525,-5.267688,606.7288
Cádiz,Paterna de Rivera,36.52333,-5.866053,125.9705
Cádiz,Prado del Rey,36.78968,-5.555545,423.1529
Cádiz,Puerto de Santa María (El),36.59695,-6.227526,14.76373
Cádiz,Puerto Real,36.52912,-6.191895,11.78617
Cádiz,Puerto Serrano,36.92159,-5.545621,162.2749
Cádiz,Rota,36.61699,-6.358202,14.28653
Cádiz,San Fernando,36.46572,-6.196626,21.14313
Cádiz,San José del Valle,36.60554,-5.798952,142.0624
Cádiz,San Roque,36.20975,-5.384572,106.1072
Cádiz,Sanlúcar de Barrameda,36.77882,-6.354198,11.0011
Cádiz,Setenil de las Bodegas,36.86406,-5.181413,555.0465
Cádiz,Tarifa,36.01271,-5.602954,14.66109
Cádiz,Torre Alháquime,36.91553,-5.234736,471.3644
Cádiz,Trebujena,36.86951,-6.176695,72.16942
Cádiz,Ubrique,36.67771,-5.446557,326.7233
Cádiz,Vejer de la Frontera,36.25331,-5.962856,178.6806
Cádiz,Villaluenga del Rosario,36.69587,-5.388137,874.9724
Cádiz,Villamartín,36.86132,-5.641834,167.8091
Cádiz,Zahara,36.84053,-5.390547,507.4048
Córdoba,Adamuz,38.02736,-4.524873,245.2438
Córdoba,Aguilar de la Frontera,37.51503,-4.656057,374.5963
Córdoba,Alcaracejos,38.38823,-4.967684,611.311
Córdoba,Almedinilla,37.439,-4.091205,643.6762
Córdoba,Almodóvar del Río,37.80959,-5.019958,119.838
Córdoba,Añora,38.41099,-4.897461,629.9739
Córdoba,Baena,37.61441,-4.326089,432.8641
Córdoba,Belalcázar,38.57843,-5.167119,492.9109
Córdoba,Belmez,38.27234,-5.208753,530.0388
Córdoba,Benamejí,37.26732,-4.540418,458.9315
Córdoba,Blázquez (Los),38.4065,-5.438988,594.3582
Córdoba,Bujalance,37.89657,-4.383588,345.5078
Córdoba,Cabra,37.47437,-4.425931,503.6198
Córdoba,Cañete de las Torres,37.86741,-4.318819,320.6117
Córdoba,Carcabuey,37.44359,-4.273436,628.2857
Córdoba,Cardeña,38.27047,-4.32373,747.5234
Córdoba,Carlota (La),37.67361,-4.932553,215.4566
Córdoba,Carpio (El),37.94054,-4.498775,180.5471
Córdoba,Castro del Río,37.68864,-4.481579,229.5285
Córdoba,Conquista,38.40844,-4.500968,597.3675
Córdoba,Córdoba,37.88473,-4.779152,131.9102
Córdoba,Doña Mencía,37.55457,-4.357603,598.4364
Córdoba,Dos Torres,38.44524,-4.894932,589.4772
Córdoba,Encinas Reales,37.27488,-4.489717,446.9231
Córdoba,Espejo,37.68211,-4.552363,391.4622
Córdoba,Espiel,38.18865,-5.018202,548.5708
Córdoba,Fernán-Núñez,37.67226,-4.723994,310.7925
Córdoba,Fuente-Tójar,37.51163,-4.148019,589.3212
Córdoba,Fuente la Lancha,38.42257,-5.048906,559.9954
Córdoba,Fuente Obejuna,38.26675,-5.419834,622.7498
Córdoba,Fuente Palmera,37.70319,-5.103904,160.0771
Córdoba,Granjuela (La),38.3711,-5.351436,554.3214
Córdoba,Guadalcázar,37.75755,-4.94463,161.6661
Córdoba,Guijo (El),38.49629,-4.782716,565.6235
Córdoba,Hinojosa del Duque,38.50099,-5.148333,551.713
Córdoba,Hornachuelos,37.83084,-5.242984,177.4551
Córdoba,Iznájar,37.25726,-4.308423,519.9057
Córdoba,Lucena,37.40873,-4.485598,494.1765
Córdoba,Luque,37.55932,-4.276523,662.4076
Córdoba,Montalbán de Córdoba,37.58292,-4.749699,277.8563
Córdoba,Montemayor,37.64862,-4.698889,386.187
Córdoba,Montilla,37.58963,-4.638313,385.7791
Córdoba,Montoro,38.02617,-4.381874,201.329
Córdoba,Monturque,37.47332,-4.581713,376.9995
Córdoba,Moriles,37.43526,-4.608767,379.1501
Córdoba,Nueva Carteya,37.58566,-4.467291,444.7657
Córdoba,Obejo,38.13433,-4.800506,692.8661
Córdoba,Palenciana,37.2492,-4.583651,396.5208
Córdoba,Palma del Río,37.70163,-5.283767,60.91507
Córdoba,Pedro Abad,37.96708,-4.457226,163.2774
Córdoba,Pedroche,38.42873,-4.763438,623.1253
Córdoba,Peñarroya-Pueblonuevo,38.30304,-5.272851,541.6902
Córdoba,Posadas,37.80041,-5.107038,88.41434
Córdoba,Pozoblanco,38.37742,-4.848376,652.3784
Córdoba,Priego de Córdoba,37.4389,-4.194839,657.6609
Córdoba,Puente Genil,37.39051,-4.770465,219.0715
Córdoba,Rambla (La),37.60816,-4.741319,331.6505
Córdoba,Rute,37.32587,-4.371301,632.5386
Córdoba,San Sebastián de los Ballesteros,37.65493,-4.824157,306.4553
Córdoba,Santa Eufemia,38.59544,-4.902765,547.0313
Córdoba,Santaella,37.56627,-4.845094,238.2158
Córdoba,Torrecampo,38.4751,-4.679456,576.4257
Córdoba,Valenzuela,37.77508,-4.219841,341.0233
Córdoba,Valsequillo,38.40498,-5.35168,578.0466
Córdoba,Victoria (La),37.88327,-4.784959,122.8182
Córdoba,Villa del Río,37.98227,-4.290878,164.0046
Córdoba,Villafranca de Córdoba,37.96193,-4.545728,143.0544
Córdoba,Villaharta,38.13951,-4.903052,578.8654
Córdoba,Villanueva de Córdoba,38.32279,-4.628341,728.5879
Córdoba,Villanueva del Duque,38.39297,-5.000132,583.8452
Córdoba,Villanueva del Rey,38.19965,-5.151443,556.6314
Córdoba,Villaralto,38.45571,-4.984371,586.7803
Córdoba,Villaviciosa de Córdoba,38.07598,-5.014214,699.2513
Córdoba,Viso (El),38.4827,-4.955392,578.6813
Córdoba,Zuheros,37.54314,-4.316415,652.7948
Granada,Agrón,37.03058,-3.829724,1057.493
Granada,Alamedilla,37.58174,-3.244309,867.9614
Granada,Albolote,37.23085,-3.657415,650.2138
Granada,Albondón,36.82729,-3.210813,894.4161
Granada,Albuñán,37.22719,-3.133893,1115.975
Granada,Albuñol,36.79125,-3.203485,247.2122
Granada,Albuñuelas,36.9282,-3.631472,728.1844
Granada,Aldeire,37.16264,-3.072488,1274.015
Granada,Alfacar,37.23657,-3.570654,915.6451
