Provincia,Población,Latitud,Longitud,Altitud
Granada,Agrón,37.03058,-3.829724,1057.493
Granada,Alamedilla,37.58174,-3.244309,867.9614
Granada,Albolote,37.23085,-3.657415,650.2138
Granada,Albondón,36.82729,-3.210813,894.4161
Granada,Albuñán,37.22719,-3.133893,1115.975
Granada,Albuñol,36.79125,-3.203485,247.2122
Granada,Albuñuelas,36.9282,-3.631472,728.1844
Granada,Aldeire,37.16264,-3.072488,1274.015
Granada,Alfacar,37.23657,-3.570654,915.6451
Granada,Algarinejo,37.32492,-4.158846,596.2101
Granada,Alhama de Granada,37.00252,-3.988389,890.953
Granada,Alhendín,37.1076,-3.645584,736.6528
Granada,Alicún de Ortega,37.60968,-3.137986,692.778
Granada,Almegíjar,36.90245,-3.299801,811.4709
Granada,Almuñécar,36.73454,-3.690736,24.01802
Granada,Alpujarra de la Sierra,36.9815,-3.157129,1238.541
Granada,Alquife,37.17983,-3.116288,1202.946
Granada,Arenas del Rey,36.95771,-3.894323,870.3409
Granada,Armilla,37.1401,-3.617981,671.618
Granada,Atarfe,37.2229,-3.687416,604.92
Granada,Baza,37.49065,-2.774473,850.2978
Granada,Beas de Granada,37.21916,-3.481737,1068.34
Granada,Beas de Guadix,37.2794,-3.205976,955.7032
Granada,Benalúa,37.3503,-3.16904,858.6871
Granada,Benalúa de las Villas,37.42758,-3.683473,848.7814
Granada,Benamaurel,37.60913,-2.699214,719.2347
Granada,Bérchules,36.97672,-3.190379,1330.123
Granada,Bubión,36.94883,-3.356741,1298.578
Granada,Busquístar,36.93771,-3.294846,1160.204
Granada,Cacín,37.05995,-3.91689,701.9979
Granada,Cádiar,36.94673,-3.180546,926.387
Granada,Cájar,37.13422,-3.570618,730.5661
Granada,Calahorra (La),37.18137,-3.064513,1198.746
Granada,Calicasas,37.27329,-3.6182,764.5505
Granada,Campotéjar,37.48131,-3.616497,925.5419
Granada,Cáñar,36.92661,-3.428235,1026.397
Granada,Caniles,37.43626,-2.722401,914.9191
Granada,Capileira,36.96122,-3.358654,1444.893
Granada,Carataunas,36.92287,-3.408202,761.6864
Granada,Cástaras,36.93169,-3.253733,1021.059
Granada,Castilléjar,37.7147,-2.642967,770.9531
Granada,Castril,37.79573,-2.779088,904.8172
Granada,Cenes de la Vega,37.15931,-3.537524,746.4172
Granada,Chauchina,37.20142,-3.77254,552.4158
Granada,Chimeneas,37.13137,-3.823198,699.7101
Granada,Churriana de la Vega,37.14777,-3.64595,657.35
Granada,Cijuela,37.19989,-3.810801,539.7335
Granada,Cogollos de Guadix,37.22443,-3.161336,1142.019
Granada,Cogollos de la Vega,37.27486,-3.572908,997.7243
Granada,Colomera,37.37206,-3.71382,855.0217
Granada,Cortes de Baza,37.65493,-2.769917,707.9819
Granada,Cortes y Graena,37.30363,-3.218777,976.4355
Granada,Cuevas del Campo,37.60847,-2.931033,832.7582
Granada,Cúllar,37.58368,-2.576282,895.665
Granada,Cúllar Vega,37.15327,-3.670436,643.1689
Granada,Darro,37.35002,-3.292531,1115.744
Granada,Dehesas de Guadix,37.58868,-3.102278,684.2996
Granada,Deifontes,37.32524,-3.594484,744.6108
Granada,Diezma,37.32085,-3.331664,1227.448
Granada,Dílar,37.07499,-3.601624,878.0067
Granada,Dólar,37.18004,-2.989589,1204.454
