Provincia,Población,Latitud,Longitud,Altitud
Huelva,Alájar,37.87439,-6.666078,578.1751
Huelva,Aljaraque,37.27111,-7.021585,36.69819
Huelva,Almendro (El),37.50693,-7.270019,235.1584
Huelva,Almonaster la Real,37.87181,-6.787901,581.577
Huelva,Almonte,37.26254,-6.51724,77.07417
Huelva,Alosno,37.54936,-7.115428,183.9688
Huelva,Aracena,37.89417,-6.561207,673.9959
Huelva,Aroche,37.94426,-6.954265,407.155
Huelva,Arroyomolinos de León,38.02604,-6.421104,599.7921
Huelva,Ayamonte,37.21466,-7.409819,3.156081
Huelva,Beas,37.42592,-6.792988,120.9826
Huelva,Berrocal,38,-6.883333,465.0762
Huelva,Bollullos Par del Condado,37.33615,-6.535758,116.0159
Huelva,Bonares,37.3219,-6.680697,82.23658
Huelva,Cabezas Rubias,37.7265,-7.087451,222.5471
Huelva,Cala,37.97217,-6.31649,594.0731
Huelva,Calañas,37.65482,-6.878683,297.4208
Huelva,Campillo (El),37.69332,-6.630814,434.6812
Huelva,Campofrío,37.76776,-6.573099,518.697
Huelva,Cañaveral de León,38.01454,-6.527808,545.9366
Huelva,Cartaya,37.28314,-7.154979,24.17416
Huelva,Castaño del Robledo,37.8951,-6.703943,739.8133
Huelva,Cerro de Andévalo (El),37.73519,-6.938734,301.119
Huelva,Chucena,37.36157,-6.393946,148.2157
Huelva,Corteconcepción,37.89585,-6.505878,581.7432
Huelva,Cortegana,37.90937,-6.820616,686.309
Huelva,Cortelazor,37.93554,-6.624768,624.8343
Huelva,Cumbres de Enmedio,38.07224,-6.692877,592.3164
Huelva,Cumbres de San Bartolomé,38.07691,-6.743336,579.4737
Huelva,Cumbres Mayores,38.0637,-6.647074,694.7698
Huelva,Encinasola,38.13522,-6.872141,430.9646
Huelva,Escacena del Campo,37.41033,-6.389561,172
Huelva,Fuenteheridos,37.90327,-6.660661,711.6528
Huelva,Galaroza,37.92757,-6.709221,562.1963
Huelva,Gibraleón,37.37495,-6.970141,29.21607
Huelva,Granada de Río-Tinto (La),37.23156,-6.91823,0
Huelva,Granado (El),37.26469,-6.926992,18.32656
Huelva,Higuera de la Sierra,37.83819,-6.447579,627.3121
Huelva,Hinojales,38.00843,-6.589147,615.3049
Huelva,Hinojos,37.29273,-6.376253,83.66503
Huelva,Huelva,37.2571,-6.949555,20.74414
Huelva,Isla Cristina,37.19943,-7.325246,6.336774
Huelva,Jabugo,37.91671,-6.729078,658.2429
Huelva,Lepe,37.25432,-7.203348,24.5359
Huelva,Linares de la Sierra,37.88009,-6.621002,490.7656
Huelva,Lucena del Puerto,37.30394,-6.730086,83.68538
Huelva,Manzanilla,37.38773,-6.429422,163.7289
Huelva,Marines (Los),37.90303,-6.62332,723.576
Huelva,Minas de Riotinto,37.69391,-6.591848,417.6434
Huelva,Moguer,37.27469,-6.836591,53.91101
Huelva,Nava (La),37.96342,-6.745746,424.0233
Huelva,Nerva,37.69511,-6.550632,336.9252
Huelva,Niebla,37.3601,-6.6792,42.88836
Huelva,Palma del Condado (La),37.38784,-6.5534,96.01058
Huelva,Palos de la Frontera,37.2282,-6.893426,29.09229
Huelva,Paterna del Campo,37.42096,-6.401431,184.3562
Huelva,Paymogo,37.74063,-7.345994,180.5523
Huelva,Puebla de Guzmán,37.61144,-7.245831,212.8246
Huelva,Puerto Moral,37.89208,-6.47877,519.9462
Huelva,Punta Umbría,37.18248,-6.967148,7.50116
Huelva,Rociana del Condado,37.30781,-6.598672,97.39848
Huelva,Rosal de la Frontera,37.9678,-7.220527,221.4779
Huelva,San Bartolomé de la Torre,37.44596,-7.106683,131.2254
Huelva,San Juan del Puerto,37.31416,-6.840784,8
Huelva,San Silvestre de Guzmán,37.3884,-7.350305,152.8138
Huelva,Sanlúcar de Guadiana,37.47318,-7.467861,15.38703
Huelva,Santa Ana la Real,37.86396,-6.724445,637.6948
Huelva,Santa Bárbara de Casa,37.79655,-7.188633,310.5924
Huelva,Santa Olalla del Cala,37.90651,-6.229617,518.6226
Huelva,Trigueros,37.38319,-6.833752,78.58913
Huelva,Valdelarco,37.95044,-6.683222,619.3045
Huelva,Valverde del Camino,37.57339,-6.753376,282.4763
Huelva,Villablanca,37.30373,-7.341905,95.63974
Huelva,Villalba del Alcor,37.39729,-6.476595,161.8071
Huelva,Villanueva de las Cruces,37.62762,-7.024521,119.6258
Huelva,Villanueva de los Castillejos,37.50046,-7.272443,225
Huelva,Villarrasa,37.38945,-6.606914,66.98409
Huelva,Zalamea la Real,37.67891,-6.660578,409.5469
Huelva,Zufre,37.83384,-6.338613,441.5297
